Plant ID,Stom_length_1,Stom_length_2,Stom_length_3,Stom_length_4,Stom_length_5,Area,Stom_number,Scale,Notes,Initals ,Date
ACEPEN01_WM.1.10X,24.654,14.705,16.27,17.962,28.301,585632.274,71,1.57,,AMK,6/17/16
ACEPEN01_WM.2.10X,12.562,16.843,14.388,12.683,15.683,585632.274,80,1.57,,AMK,6/17/16
ACEPEN01_WM.3.10X,13.616,14.099,16.625,15.618,17.849,585632.274,96,1.57,,AMK,6/17/16
ACEPEN03_WM.1.10X,12.611,14.045,16.255,15.497,14.016,585632.274,91,1.57,bottom left corner blurry,AMK,6/17/16
ACEPEN03_WM.2.10X,14.26,16.104,14.146,16.028,13.307,585632.274,84,1.57,bottom right corner blurry,AMK,6/17/16
ACEPEN03_WM.3.10X,14.142,12.619,16.342,16.963,16.179,585632.274,105,1.57,,AMK,6/17/16
ACERUB01_WM.1.1.10X,16.275,18.455,20.084,14.274,15.511,585632.274,12,1.57,,AMK,6/17/16
ACERUB01_WM.1.2.10X,16.104,15.634,15.032,14.388,17.663,585632.274,46,1.57,,AMK,6/17/16
ACERUB01_WM.1.3.10X,17.138,14.556,16.239,18.353,17.905,585632.274,10,1.57,,AMK,6/17/16
ACERUB01_WM.2.1.10X,19.755,13.104,14.458,18.619,16.536,585632.274,29,1.57,,AMK,6/17/16
ACERUB01_WM.2.2.10X,13.061,17.106,14.045,16.354,11.852,585632.274,41,1.57,,AMK,6/17/16
ACERUB01_WM.2.3.10X,19.952,13.962,15.53,13.246,20.367,585632.274,39,1.57,,AMK,6/17/16
ACERUB02_WM.1.10X,13.391,15.3,20,14.203,14.556,585632.274,10,1.57,,AMK,6/17/16
ACERUB03_WM.2.10X,20.167,21.586,16.493,18.066,18.231,585632.274,102,1.57,,AMK,6/17/16
ACERUB04_WM.1.10X,19.437,17.849,16.927,18.133,18.156,585632.274,122,1.57,,AMK,6/17/16
ACERUB05_WM.3.10X,14.146,16.551,16.438,15.55,14.538,585632.274,38,1.57,,AMK,6/17/16
ACERUB06_WM.1.10X,16.314,17.697,19.637,18.551,17.423,585632.274,79,1.57,,AMK,6/17/16
ALNINC01_WM.1.2.10X,10.814,11.71,14.135,11.852,10.958,585632.274,42,1.57,,AMK,6/17/16
ALNINC02_WM.3.10X,18.554,15.497,13.334,12.715,11.71,585632.274,38,1.57,,NKM,6/22/16
ALNINC03_WM.1.10X,18.164,17.657,14.612,18.03,12.999,585632.274,74,1.57,,NKM,6/22/16
ALNINC04_WM.2.10X,15.383,16.117,17.385,18.175,13.911,585632.274,76,1.57,,NKM,6/22/16
AMECAN01_WM.2.10X,27.272,27.158,26.41,28.856,24.777,585632.274,43,1.57,,NKM,6/22/16
AMECAN02_WM.1.10X,27.634,24.497,21.686,25.258,29.943,585632.274,33,1.57,,NKM,6/22/16
AMECAN03_WM.2.10X,23.327,28.373,25.258,24.892,24.212,585632.274,50,1.57,,NKM,6/22/16
AMECAN04_WM.3.10X,26.349,25.575,25.135,24.837,22.361,585632.274,47,1.57,,NKM,6/22/16
AMELAE01_WM.3.10X,21.347,24.802,27.324,26.248,27.361,585632.274,64,1.57,,NKM,6/22/16
AMELAE02_WM.1.10X,21.984,22.792,25.549,20.312,22.458,585632.274,34,1.57,,NKM,6/22/16
AMELAE03_WM.1.10X,27.221,20.701,24.745,27.809,23.179,585632.274,48,1.57,,NKM,6/22/16
AMELAE04_WM.2.10X,25.928,29.865,27.494,23.768,27.1,585632.274,38,1.57,,NKM,6/22/16
AROMEL01_WM.1.10X,21.29,19.079,18.986,18.4,19.881,585632.274,91,1.57,,NKM,6/22/16
AROMEL02_WM.1.10X,18.887,22.057,21.302,22.647,19.256,585632.274,93,1.57,,NKM,6/22/16
AROMEL03_WM.1.10X,21.487,19.593,22.397,18.105,21.175,585632.274,79,1.57,,NKM,6/22/16
AROMEL04_WM.2.10X,21.656,23.42,18.922,21.935,21.619,585632.274,83,1.57,,NKM,6/22/16
BETALL01_WM.2.10X,19.755,22.618,19.437,20.995,18.529,585632.274,57,1.57,,NKM,6/22/16
BETALL02_WM.2.10X,17.617,19.372,16.493,17.697,17.837,585632.274,67,1.57,,NKM,6/22/16
BETALL03_WM.1.10X,19.952,21.089,20.84,21.938,21.395,585632.274,27,1.57,,NKM,6/22/16
BETALL04_WM.3.10X,19.952,20.242,20.315,17.458,19.539,585632.274,45,1.57,,NKM,6/22/16
BETPAP01_WM.2.10X,18.164,16.179,21.656,17.15,19.28,585632.274,74,1.57,,NKM,6/22/16
BETPAP02_WM.2.10X,19.119,22.51,18.962,19.699,19.151,585632.274,49,1.57,,NKM,6/22/16
