Individual,Site,Species,Latitude,Longitude,Elevation,Leaf area,Fresh mass,Dry mass,Stem volume,Stem mass,Height,Distance,Bottom angle,Top Angle,Bottom m,Top m,DBH,DBH 2,DBH 3,DBH 4,DBH 5,Summer 2015 notes,Summer 2015 Route,Summer 2015 Date Sampled,pctN,pctC,Stomatal Length,Stomatal Density
ACEPEN01_GR,GR,ACEPEN,44.92307399,-71.09050599,433,291.793,3.26,0.92,1.39,0.56,6,,,,,,2.6,,,,,,,,2.585346515,44.85988686,,
ACEPEN03_GR,GR,ACEPEN,44.88032201,-71.09937103,471,280.336,3.13,0.86,1.42,0.56,5,,,,,,2.4,,,,,,,,2.325918449,45.77135595,10.199,479.8232824
ACEPEN04_GR,GR,ACEPEN,44.87927604,-71.10118504,450,279.253,3.21,0.85,0.8,0.35,4,,,,,,1,1.2,1.2,1.6,,,,,1.398805663,33.29218704,,
ACEPEN05_GR,GR,ACEPEN,44.87739396,-71.05677604,392,311.388,2.63,0.65,0.73,0.34,7,,,,,,3.7,,,,,,,,2.572024958,44.8465225,13.574,169.0480604
ACEPEN06_GR,GR,ACEPEN,44.89883403,-71.07445196,430,367.072,3.41,0.79,0.93,0.45,7,,,,,,3.5,,,,,,,,2.517741209,45.09945635,12.2784,160.5102795
ACEPEN07_GR,GR,ACEPEN,44.87522598,-71.05351799,392,179.038,2.27,0.62,1.18,0.49,5,,,,,,2,,,,,,,,2.083573353,44.54098929,12.975,322.7281152
ACEPEN08_GR,GR,ACEPEN,,,,,,,,,9.25,,,,,,8.1,5.5,,,,,,,,,,
ACEPEN09_GR,GR,ACEPEN,,,,,,,,,5,,,,,,2.8,,,,,,,,,,,
ACEPEN10_GR,GR,ACEPEN,,,,,,,,,4.5,,,,,,3.3,,,,,,,,,,,
ACEPEN11_GR,GR,ACEPEN,,,,,,,,,6,,,,,,3.6,,,,,,,,,,,
ACERUB01_GR,GR,ACERUB,44.92342897,-71.09039501,444,251.487,3.35,1.17,1.82,0.96,22,,,,,,4.7,21.5,5.2,18.7,5.7,7 stems,,,2.267650974,47.24363552,13.9844,391.0303618
ACERUB02_GR,GR,ACERUB,44.92335303,-71.09061504,437,291.921,3.3,1.05,1.13,0.61,6,,,,,,4.2,,,,,,,,2.534112426,46.65880561,,
ACERUB03_GR,GR,ACERUB,44.92350499,-71.08970904,437,251.166,3.25,1.11,2.35,1.53,11,,,,-2,10,10.2,9.2,,,,,,,1.932327915,39.89717348,14.9362,179.2933973
ACERUB04_GR,GR,ACERUB,44.92466404,-71.09516398,418,282.558,3.51,1.41,1.1,0.47,18,,,,-1.5,16,3.6,18.7,10.8,2.6,2.7,,,,1.985864724,47.11777166,,
ACERUB05_GR,GR,ACERUB,44.92466697,-71.09543597,424,,3.46,1.48,1.05,0.53,8,,,,,,5.1,,,,,,,,1.601550775,40.1769574,14.5026,203.1991837
ACERUB06_GR,GR,ACERUB,44.88022101,-71.09837299,452,316.433,3.86,1.41,2.13,1.25,6,,,,,,4.5,5.4,,,,,,,2.334208812,47.57256492,13.572,252.7183124
ACERUB07_GR,GR,ACERUB,44.879816,-71.10000503,451,,,,,,18,,,,,,5.5,15.2,16.6,21.9,,,,,,,,
ACERUB08_GR,GR,ACERUB,44.87988297,-71.100216,438,,,,,,10,,,,,,4.3,,,,,RIBGLA at base,,,,,,
ACERUB09_GR,GR,ACERUB,44.87975196,-71.10030997,448,,,,,,14,,,,,,8,,,,,,,,,,,
ACERUB10_GR,GR,ACERUB,44.879558,-71.10054399,440,,,,,,12,,,,,,9.5,,,,,,,,,,,
ACERUB11_GR,GR,ACERUB,44.87936002,-71.10070903,443,,,,,,20,,,,,,14.5,20,28.1,13.1,,,,,,,,
ACERUB12_GR,GR,ACERUB,44.87923396,-71.10111798,447,,,,,,21,,,,,,13,,,,,,,,,,,
ACESAC01_HF,GR,ACESAC,44.92391403,-71.093097,420,,1.84,0.62,1.3,0.73,18,,,,,,13.5,,,,,20' from fraame01,,,,,,
ACESAC02_GR,GR,ACESAC,44.92378897,-71.09293196,415,271.656,2.33,0.75,0.99,0.51,2.5,,,,,,2.6,,,,,,,,2.776356529,45.63317166,10.5078,133.1893809
ACESAC03_GR,GR,ACESAC,44.87420297,-71.05360399,395,205.267,1.94,0.71,0.95,0.5,7,,,,-2,5,7.4,,,,,,,,2.472850734,45.66568926,,
ACESAC04_GR,GR,ACESAC,44.92425299,-71.09446803,417,280.774,3.06,1.22,1.92,1.19,15,,,,-0.75,13.5,6.1,15.6,,,,,,,2.066042252,46.20911883,,
ACESAC05_GR,GR,ACESAC,44.92472003,-71.09525199,421,268.699,3.22,1.34,1.48,1,21,,,,-1,20,25.1,,,,,,,,1.822958928,46.15696121,9.8264,317.6054467
ACESAC06_GR,GR,ACESAC,44.92492002,-71.09614802,423,236.863,2.4,1.06,1.9,1.03,15,,,,-1.5,13.5,16.5,3.6,,,,,,,1.769315337,47.03130092,9.1296,312.4827782
ACESAC07_GR,GR,ACESAC,44.92501399,-71.096763,426,253.221,2.65,1.05,1.24,0.67,6,,,,-0.75,4.5,5,,,,,,,,1.597424754,47.56683736,,
ACESAC08_GR,GR,ACESAC,44.92545102,-71.09722601,428,230.736,2.17,0.79,1.58,0.84,11,,,,-1.25,9.5,7.7,,,,,,,,1.721429051,46.14323382,,
ACESAC09_GR,GR,ACESAC,44.92535898,-71.09773002,432,234.12,2.58,0.94,2.14,1.29,7,,,,-1.5,5.5,6.6,,,,,,,,2.155336027,46.76884263,,
ACESAC10_GR,GR,ACESAC,44.88008497,-71.098,454,,,,,,12,,,,,,13.2,3.4,,,,,,,,,,
ACESAC11_GR,GR,ACESAC,44.89817304,-71.07716703,421,237.973,3.48,1.29,1.52,0.76,13,,,,-2,10.5,10.6,,,,,,,,1.920017623,48.49700187,,
ACESPI01_GR,GR,ACESPI,44.92510996,-71.09674498,425,,,,,,1.2,,,,,,<1,,,,,,,,,,,
ACESPI02_GR,GR,ACESPI,44.92519202,-71.09671103,427,,,,,,1.3,,,,,,<1,<1,,,,,,,,,,
ACESPI03_GR,GR,ACESPI,44.92514198,-71.096635,429,,,,,,3,,,,,,1.2,,,,,,,,,,,
ACESPI04_GR,GR,ACESPI,44.92535496,-71.09777402,428,,,,,,4,,,,,,3.4,,,,,,,,,,,
ACESPI05_GR,GR,ACESPI,44.92530299,-71.09780503,433,,,,,,3,,,,,,1.2,1.6,2.2,2,,,,,,,,
ACESPI06_GR,GR,ACESPI,44.92510401,-71.09784099,449,,,,,,4,,,,,,2,1.1,,,,,,,,,,
ACESPI07_GR,GR,ACESPI,44.88034104,-71.09865404,447,,,,,,5,,,,,,3.9,,,,,,,,,,,
ACESPI08_GR,GR,ACESPI,,,,,,,,,,,,,,,6.5,3.7,,,,,,,,,,
ACESPI09_GR,GR,ACESPI,,,,,,,,,6,,,,,,6.2,2,3.4,,,,,,,,,
ALNINC01_GR,GR,ALNINC,44.92410304,-71.09224398,427,269.607,3.58,1.05,1.45,0.71,4,,,,,,3.7,,,,,4' R of dielon01,,,3.555950973,49.26053878,10.2882,51.22668496
ALNINC02_GR,GR,ALNINC,44.92414503,-71.09225001,423,190.785,3.09,0.96,1.71,0.61,1.2,,,,,,<1,,,,,"Big tree fell over it, still accessible. By water",,,3.054194656,47.96471074,12.6772,92.20803292
ALNINC03_GR,GR,ALNINC,44.92405199,-71.09303397,419,272.807,3.05,0.82,1.27,0.77,6.5,,,,,,3.7,,,,,L of trail before suspension bridge,,,3.603077167,47.54968321,15.775,27.32089864
ALNINC04_GR,GR,ALNINC,44.92390397,-71.093183,414,278.574,3.76,1.05,1.33,0.54,7,,,,,,5.5,,,,,,,,3.541528889,48.81905422,15.5264,76.84002743
ALNINC05_GR,GR,ALNINC,44.92423003,-71.09345701,414,193.661,3.47,1.2,3.01,1.54,7,,,,-1,5.75,6,,,,,many stems,,,3.721390133,49.27412122,,
ALNINC06_GR,GR,ALNINC,44.92404101,-71.09397098,415,311.977,4.07,1.32,2.93,1.53,8,,,,,,5.4,7.2,6.8,8.3,12.1,and 7.0 dbh,,,3.400214608,49.58585702,,
ALNINC07_GR,GR,ALNINC,44.924456,-71.09395003,413,222.342,3.49,1.22,1.57,0.67,5,,,,,,3.8,3.2,3.2,1.8,,,,,3.49123225,50.11963424,,
