"","stom_leng","stom_dens"
"CORALT04_SH",19.3858,183.076959682073
"CORALT04_WM",16.718,188.429904361648
"CORALT05_GR",17.794,145.142274040723
"CORALT05_WM",18.0954,186.716905231088
"CORALT06_WM",20.901,114.770941747549
"CORALT07_GR",17.3312,150.264942536278
"CORALT10_HF",16.773,144.797231748549
"CORALT11_HF",17.4328,116.503519797683
"CORALT12_HF",16.9468,91.5384798410365
"CORCOR01_GR",19.2244,73.4249151029542
"CORCOR01_HF",18.4366,74.8951198699389
"CORCOR01_SH",18.7618,81.5524638583779
"CORCOR01_WM",21.4354,71.9459634835384
"CORCOR02_WM",22.27,82.2239582669011
"CORCOR03_WM",19.9632,101.066948703066
"CORCOR04_WM",19.2824,87.3629556585824
"CORCOR05_GR",17.5518,61.4720219466593
"CORCOR05_SH",16.4394,39.9440639306341
"CORCOR06_GR",20.5064,93.9155890851739
"CORCOR06_HF",19.2158,54.9230879046219
"CORCOR07_GR",14.7066,80.2551397636941
"CORCOR07_HF",17.3546,111.510511806354
"CORCOR07_SH",20.634,81.5524638583779
"CORCOR08_HF",18.7264,101.524495823695
"CORCOR09_SH",19.955,61.5804318930609
"FAGGRA01_GR",9.3946,447.379715278465
"FAGGRA01_WM",11.5084,280.931857411912
"FAGGRA02_GR",8.1154,413.228591974765
"FAGGRA02_HF",7.0248,407.76231929189
"FAGGRA02_SH",8.2142,366.153919364146
"FAGGRA02_WM",12.3292,385.424804376099
"FAGGRA03_GR",8.474,432.0117097918
"FAGGRA03_HF",8.075,436.056031242756
"FAGGRA03_WM",11.3182,263.801866106308
"FAGGRA04_SH",8.1314,344.517551401719
"FAGGRA04_WM",9.8656,320.330837414802
"FAGGRA05_GR",8.4906,348.341457697736
"FAGGRA05_SH",7.3032,296.251807485536
"FAGGRA06_SH",8.785,261.300751546231
"FAGGRA08_HF",8.6644,459.356735202292
"FAGGRA09_HF",8.08,396.111967312121
"FRAAME01_WM",18.6522,135.326931314275
"FRAAME02_GR",22.585,134.896937049613
"FRAAME02_WM",18.8642,255.236870453505
"FRAAME03_GR",23.3766,93.9155890851739
"FRAAME03_WM",20.7568,178.151909578286
"FRAAME04_GR",18.7284,162.217835692573
"FRAAME04_WM",18.2224,202.133897406132
"FRAAME05_HF",18.65,103.188831820805
"FRAAME06_HF",17.107,113.174847803463
"FRAAME09_HF",17.4917,85.7133038511523
"FRAAME12_GR",17.3992,88.792920589619
"FRANIG01_GR",12.7296,245.888087786637
"FRANIG02_GR",16.278,169.048060353313
"FRANIG02_SH",15.7736,379.468607341024
"FRANIG03_GR",17.3272,237.350306960712
"FRANIG04_GR",17.6852,189.538734335533
"FRANIG04_HF",15.7812,111.510511806354
"FRANIG06_SH",18.0588,274.615439523109
"FRANIG07_HF",16.5574,83.2167998554877
"FRANIG08_HF",15.425,141.468559754329
"FRANIG08_SH",17.4062,336.19587141617
"FRANIG09_SH",16.686,302.909151473975
"FRANIG10_HF",13.4042,261.300751546231
"HAMVIR01_WM",18.9398,75.3719617446593
"HAMVIR02_WM",17.8312,94.2149521808242
"HAMVIR03_WM",18.6632,243.245876539582
"HAMVIR04_WM",17.302,200.420898275571
"HAMVIR07_HF",21.1418,99.8601598265852
"HAMVIR08_HF",18.1374,83.2167998554877
"HAMVIR09_HF",17.8624,98.1958238294755
"HAMVIR10_HF",16.4644,103.188831820805
"ILEMUC01_GR",11.5846,447.379715278465
"ILEMUC01_HF",20.2458,339.52454341039
"ILEMUC01_SH",14.5448,339.52454341039
"ILEMUC01_WM",13.6356,284.357855673033
"ILEMUC02_HF",12.7034,466.014079190731
"ILEMUC02_WM",14.2184,299.774847848077
"ILEMUC03_GR",14.934,317.605446724406
"ILEMUC03_HF",19.5722,371.146927355475
"ILEMUC03_SH",16.2926,414.419663280329
"ILEMUC03_WM",13.0394,339.173827850967
"ILEMUC04_GR",15.802,264.671205603672
"ILEMUC04_SH",15.2284,575.860254999975
"ILEMUC04_WM",12.667,414.545789595626
"ILEMUC05_HF",18.847,376.139935346804
"ILEMUC05_SH",16.994,329.538527427731
"ILEMUC06_GR",14.7754,329.558339880701
