"spp","siteeffect"
"ACEPEN",1.81904761904762
"ALNINC",-8.6
"FAGGRA",7.09743589743592
"LONCAN",-11.2
"POPGRA",-3.25714285714285
"PRUPEN",-2.57142857142858
"QUERUB",-5.98431372549026
"SPIALB",24.3
"VACMYR",4.8
"VIBLAN",1.87121212121209

