"id","sp","rep","site","ind","treatcode","warm","photo","chill","gen","Term.fl","Lat.fl","Term.lf","Lat.lf","Comments","Observer","day","day.chill","dayuse","lday","fday","bday","nl"
"ACEPEN01_HF_01","ACEPEN","1","HF","ACEPEN01_HF","CL2","15","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,43,37,13,1
"ACEPEN01_HF_02","ACEPEN","1","HF","ACEPEN01_HF","CS1","15","08","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,52,NA,15,1
"ACEPEN01_HF_03","ACEPEN","1","HF","ACEPEN01_HF","CL0","15","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,48,61,20,1
"ACEPEN01_HF_04","ACEPEN","1","HF","ACEPEN01_HF","WS2","20","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,41,41,24,1
"ACEPEN01_HF_05","ACEPEN","1","HF","ACEPEN01_HF","WS0","20","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,34,NA,18,1
"ACEPEN01_HF_06","ACEPEN","1","HF","ACEPEN01_HF","CS2","15","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,NA,NA,17,0
"ACEPEN01_HF_07","ACEPEN","1","HF","ACEPEN01_HF","WL2","20","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,27,NA,14,1
"ACEPEN01_HF_08","ACEPEN","1","HF","ACEPEN01_HF","WL0","20","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,26,NA,26,1
"ACEPEN01_HF_10","ACEPEN","1","HF","ACEPEN01_HF","CS0","15","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,68,NA,33,1
"ACEPEN01_HF_11","ACEPEN","1","HF","ACEPEN01_HF","WL1","20","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,38,45,13,1
"ACEPEN01_HF_12","ACEPEN","1","HF","ACEPEN01_HF","CL1","15","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,37,NA,13,1
"ACEPEN02_HF_01","ACEPEN","2","HF","ACEPEN02_HF","CS1","15","08","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,44,NA,9,1
"ACEPEN02_HF_02","ACEPEN","2","HF","ACEPEN02_HF","CL0","15","12","chill0","ACE",NA,NA,"0","0","","",1,-32,1,40,NA,20,1
"ACEPEN02_HF_03","ACEPEN","2","HF","ACEPEN02_HF","CS2","15","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,NA,NA,13,0
"ACEPEN02_HF_04","ACEPEN","2","HF","ACEPEN02_HF","CS0","15","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,68,NA,21,1
"ACEPEN02_HF_05","ACEPEN","2","HF","ACEPEN02_HF","WL0","20","12","chill0","ACE",NA,NA,"0","0","Missing","",1,-32,1,NA,NA,NA,0
"ACEPEN02_HF_06","ACEPEN","2","HF","ACEPEN02_HF","WS0","20","08","chill0","ACE",NA,NA,"0","0","","",1,-32,1,40,NA,27,1
"ACEPEN02_HF_07","ACEPEN","2","HF","ACEPEN02_HF","CL2","15","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,37,NA,13,1
"ACEPEN02_HF_09","ACEPEN","2","HF","ACEPEN02_HF","WL2","20","12","chill2","ACE",NA,NA,"0","0","","EB",36,3,3,NA,NA,14,0
"ACEPEN02_HF_10","ACEPEN","2","HF","ACEPEN02_HF","WS2","20","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,50,NA,24,1
"ACEPEN02_HF_11","ACEPEN","2","HF","ACEPEN02_HF","WL1","20","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,24,NA,8,1
"ACEPEN02_HF_12","ACEPEN","2","HF","ACEPEN02_HF","CL1","15","12","chill1","ACE",NA,NA,"0","0","","TS",36,3,3,30,NA,8,1
"ACEPEN03_HF_01","ACEPEN","3","HF","ACEPEN03_HF","CS2","15","08","chill2","ACE",NA,NA,"0","0","","TS",36,3,3,NA,NA,13,0
