"ind","main.effect","mean","sd","sem"
"ACEPEN01_HF","chill0",24.25,6.7515430335097,3.37577151675485
"ACEPEN01_HF","chill1",14.25,1.5,0.75
"ACEPEN01_HF","chill2",17,4.96655480858378,2.48327740429189
"ACEPEN02_HF","chill0",22.6666666666667,3.78593889720018,1.89296944860009
"ACEPEN02_HF","chill1",10.25,3.86221007541882,1.93110503770941
"ACEPEN02_HF","chill2",16,5.35412613473634,2.67706306736817
"ACEPEN03_HF","chill0",18,3.55902608401044,1.77951304200522
"ACEPEN03_HF","chill1",5.5,2.88675134594813,1.44337567297406
"ACEPEN03_HF","chill2",14.75,3.5,1.75
"ACEPEN04_HF","chill0",18,3.55902608401044,1.77951304200522
"ACEPEN04_HF","chill1",9,5.35412613473634,2.67706306736817
"ACEPEN04_HF","chill2",13.3333333333333,0.577350269189626,0.288675134594813
"ACEPEN04_SH","chill0",21,8.04155872120988,4.02077936060494
"ACEPEN04_SH","chill1",16.25,5.25198375219624,2.62599187609812
"ACEPEN04_SH","chill2",16,5.35412613473634,2.67706306736817
"ACEPEN06_SH","chill0",19.25,1.5,0.75
"ACEPEN06_SH","chill1",10.25,3.86221007541882,1.93110503770941
"ACEPEN06_SH","chill2",14.75,3.5,1.75
"ACEPEN07_SH","chill0",31,5.94418483337567,2.97209241668783
"ACEPEN07_SH","chill1",17.25,4.19324854180304,2.09662427090152
"ACEPEN07_SH","chill2",17.75,4.3493294502333,2.17466472511665
"ACEPEN08_SH","chill0",29,8.83176086632785,4.41588043316392
"ACEPEN08_SH","chill1",16.25,5.25198375219624,2.62599187609812
"ACEPEN08_SH","chill2",16,5.35412613473634,2.67706306736817
"ACEPEN09_SH","chill0",21,8.52447456836295,4.26223728418147
"ACEPEN09_SH","chill1",11.5,3.69684550213647,1.84842275106824
"ACEPEN09_SH","chill2",13.25,0.5,0.25
"ACEPEN11_HF","chill0",24.25,12.5532200384337,6.27661001921685
"ACEPEN11_HF","chill1",18.25,6.07590871118606,3.03795435559303
"ACEPEN11_HF","chill2",17,4.96655480858378,2.48327740429189
"ALNINC01_HF","chill0",42,18.1291661878495,9.06458309392477
"ALNINC01_SH","chill0",21.25,11.4709778717132,5.73548893585659
"ALNINC02_HF","chill0",39.25,7.08872343937891,3.54436171968946
"ALNINC04_HF","chill0",25.5,13.1782649338472,6.5891324669236
"ALNINC04_SH","chill0",36,6.08276253029822,3.04138126514911
"ALNINC05_HF","chill0",23.5,12.1243556529821,6.06217782649107
"ALNINC05_SH","chill0",28.5,12.6095202129185,6.30476010645925
"ALNINC06_SH","chill0",18.75,7.58836829188814,3.79418414594407
"ALNINC07_SH","chill0",28,7.34846922834953,3.67423461417477
"ALNINC08_HF","chill0",30.75,14.0564338768172,7.02821693840858
"FAGGRA02_SH","chill0",44.75,28.6981416355368,14.3490708177684
"FAGGRA02_SH","chill1",38.75,11.1766124861993,5.58830624309966
"FAGGRA02_SH","chill2",37.75,11.0264832713487,5.51324163567436
"FAGGRA03_HF","chill0",82,NA,NA
"FAGGRA03_HF","chill1",39.6666666666667,2.88675134594813,1.44337567297406
"FAGGRA03_HF","chill2",43.6666666666667,8.02080627701064,4.01040313850532
"FAGGRA04_SH","chill0",46.6666666666667,19.7568553503166,9.8784276751583
"FAGGRA04_SH","chill1",35.3333333333333,10.5987420637231,5.29937103186155
"FAGGRA04_SH","chill2",35.75,13.5738719604982,6.78693598024911
"FAGGRA05_SH","chill0",59,19.9248588451713,9.96242942258564
"FAGGRA05_SH","chill1",51,8.48528137423857,4.24264068711928
"FAGGRA05_SH","chill2",33.6666666666667,17.0391705588427,8.51958527942137
"FAGGRA06_SH","chill0",59,15.9373774505092,7.96868872525461
"FAGGRA06_SH","chill1",45.75,9.67384790728763,4.83692395364382
"FAGGRA06_SH","chill2",38.6666666666667,12.5830573921179,6.29152869605896
"FAGGRA07_SH","chill0",52,32.5269119345812,16.2634559672906
"FAGGRA07_SH","chill1",37.5,9.19238815542512,4.59619407771256
"FAGGRA07_SH","chill2",32,19.0787840283389,9.53939201416946
"FAGGRA08_SH","chill0",61,NA,NA
"FAGGRA08_SH","chill1",41.6666666666667,7.23417813807024,3.61708906903512
"FAGGRA08_SH","chill2",39.5,4.94974746830583,2.47487373415292
"FAGGRA09_HF","chill0",43.5,8.81286937760152,4.40643468880076
"FAGGRA09_HF","chill1",36.75,12.6326297077581,6.31631485387907
"FAGGRA09_HF","chill2",34,14.9443411809733,7.47217059048663
"FAGGRA10_HF","chill0",58,12.2474487139159,6.12372435695795
"FAGGRA10_HF","chill1",51,1,0.5
"FAGGRA10_HF","chill2",37.75,11.0264832713487,5.51324163567436
"FAGGRA11_HF","chill0",61.3333333333333,11.5470053837925,5.77350269189626
"FAGGRA11_HF","chill1",38.75,9.84462628374824,4.92231314187412
"FAGGRA11_HF","chill2",33.6666666666667,9.07377172587747,4.53688586293873
"FAGGRA13_HF","chill0",35.75,8.18026079453868,4.09013039726934
"FAGGRA13_HF","chill1",30.5,5.74456264653803,2.87228132326901
"FAGGRA13_HF","chill2",35.5,8.2663978450915,4.13319892254575
"FAGGRA14_HF","chill0",46,16.5931712862049,8.29658564310243
"FAGGRA14_HF","chill1",43.6666666666667,6.02771377334171,3.01385688667085
"FAGGRA14_HF","chill2",32,7.07106781186548,3.53553390593274
"LONCAN01_HF","chill0",12.75,0.5,0.25
"LONCAN01_SH","chill0",14.5,3.69684550213647,1.84842275106824
