Individual,Site,Species,Latitude,Longitude,Elevation,Leaf area,Fresh mass,Dry mass,Stem volume,Stem mass,Height,Distance,Bottom m,Top m,DBH,DBH 2,DBH 3,Summer 2015 notes,Summer 2015 Route,Summer 2015 Date Sampled,%N,%C
ACEPEN01_GR,GR,ACEPEN,44.92307399,-71.09050599,433,291.793,3.26,0.92,1.39,0.56,,,,,,,,,,,,
ACEPEN03_GR,GR,ACEPEN,44.88032201,-71.09937103,471,280.336,3.13,0.86,1.42,0.56,,,,,,,,,,,,
ACEPEN04_GR,GR,ACEPEN,44.87927604,-71.10118504,450,279.253,3.21,0.85,0.8,0.35,,,,,,,,,,,,
ACEPEN05_GR,GR,ACEPEN,44.87739396,-71.05677604,392,311.388,2.63,0.65,0.73,0.34,,,,,,,,,,,,
ACEPEN06_GR,GR,ACEPEN,44.89883403,-71.07445196,430,367.072,3.41,0.79,0.93,0.45,4,,,,,,,,,,,
ACEPEN07_GR,GR,ACEPEN,44.87522598,-71.05351799,392,179.038,2.27,0.62,1.18,0.49,,,,,,,,,,,,
ACERUB01_GR,GR,ACERUB,44.92342897,-71.09039501,444,251.487,3.35,1.17,1.82,0.96,,,,,,,,,,,,
ACERUB02_GR,GR,ACERUB,44.92335303,-71.09061504,437,291.921,3.3,1.05,1.13,0.61,4.2,,,,,,,,,,,
ACERUB03_GR,GR,ACERUB,44.92350499,-71.08970904,437,251.166,3.25,1.11,2.35,1.53,,,-2,10,,,,,,,,
ACERUB04_GR,GR,ACERUB,44.92466404,-71.09516398,418,282.558,3.51,1.41,1.1,0.47,,,-1.5,16,,,,,,,,
ACERUB05_GR,GR,ACERUB,44.92466697,-71.09543597,424,,3.46,1.48,1.05,0.53,,,,,,,,,,,,
ACERUB06_GR,GR,ACERUB,44.88022101,-71.09837299,452,316.433,3.86,1.41,2.13,1.25,,,,,,,,,,,,
ACERUB07_GR,GR,ACERUB,44.879816,-71.10000503,451,,,,,,,,,,,,,,,,,
ACERUB08_GR,GR,ACERUB,44.87988297,-71.100216,438,,,,,,,,,,,,,,,,,
ACERUB09_GR,GR,ACERUB,44.87975196,-71.10030997,448,,,,,,,,,,,,,,,,,
ACERUB10_GR,GR,ACERUB,44.879558,-71.10054399,440,,,,,,,,,,,,,,,,,
ACERUB11_GR,GR,ACERUB,44.87936002,-71.10070903,443,,,,,,,,,,,,,,,,,
ACERUB12_GR,GR,ACERUB,44.87923396,-71.10111798,447,,,,,,,,,,,,,,,,,
ACESAC01_HF,GR,ACESAC,44.92391403,-71.093097,420,,1.84,0.62,1.3,0.73,,,,,,,,,,,,
ACESAC02_GR,GR,ACESAC,44.92378897,-71.09293196,415,271.656,2.33,0.75,0.99,0.51,4,,,,,,,,,,,
ACESAC03_GR,GR,ACESAC,44.87420297,-71.05360399,395,205.267,1.94,0.71,0.95,0.5,,,-2,5,,,,,,,,
ACESAC04_GR,GR,ACESAC,44.92425299,-71.09446803,417,280.774,3.06,1.22,1.92,1.19,,,-0.75,13.5,,,,,,,,
ACESAC05_GR,GR,ACESAC,44.92472003,-71.09525199,421,268.699,3.22,1.34,1.48,1,,,-1,20,,,,,,,,
ACESAC06_GR,GR,ACESAC,44.92492002,-71.09614802,423,236.863,2.4,1.06,1.9,1.03,,,-1.5,13.5,,,,,,,,
ACESAC07_GR,GR,ACESAC,44.92501399,-71.096763,426,253.221,2.65,1.05,1.24,0.67,,,-0.75,4.5,,,,,,,,
ACESAC08_GR,GR,ACESAC,44.92545102,-71.09722601,428,230.736,2.17,0.79,1.58,0.84,,,-1.25,9.5,,,,,,,,
ACESAC09_GR,GR,ACESAC,44.92535898,-71.09773002,432,234.12,2.58,0.94,2.14,1.29,,,-1.5,5.5,,,,,,,,
ACESAC10_GR,GR,ACESAC,44.88008497,-71.098,454,,,,,,,,,,,,,,,,,
ACESAC11_GR,GR,ACESAC,44.89817304,-71.07716703,421,237.973,3.48,1.29,1.52,0.76,,,-2,10.5,,,,,,,,
ACESPI01_GR,GR,ACESPI,44.92510996,-71.09674498,425,,,,,,,,,,,,,,,,,
ACESPI02_GR,GR,ACESPI,44.92519202,-71.09671103,427,,,,,,,,,,,,,,,,,
ACESPI03_GR,GR,ACESPI,44.92514198,-71.096635,429,,,,,,,,,,,,,,,,,
ACESPI04_GR,GR,ACESPI,44.92535496,-71.09777402,428,,,,,,,,,,,,,,,,,
ACESPI05_GR,GR,ACESPI,44.92530299,-71.09780503,433,,,,,,,,,,,,,,,,,
ACESPI06_GR,GR,ACESPI,44.92510401,-71.09784099,449,,,,,,,,,,,,,,,,,
ACESPI07_GR,GR,ACESPI,44.88034104,-71.09865404,447,,,,,,,,,,,,,,,,,
ALNINC01_GR,GR,ALNINC,44.92410304,-71.09224398,427,269.607,3.58,1.05,1.45,0.71,,,,,,,,,,,,
ALNINC02_GR,GR,ALNINC,44.92414503,-71.09225001,423,190.785,3.09,0.96,1.71,0.61,,,,,,,,"Big tree fell over it, still accessible",,,,
ALNINC03_GR,GR,ALNINC,44.92405199,-71.09303397,419,272.807,3.05,0.82,1.27,0.77,,,,,,,,,,,,
ALNINC04_GR,GR,ALNINC,44.92390397,-71.093183,414,278.574,3.76,1.05,1.33,0.54,,,,,,,,,,,,
